"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","00:00:00.5897105","","","","","",""
"","","","","","","","00:00:00.5964482","","",""
"","","","","","","00:00:00.5452295","","","",""
"","","","","","00:00:00.9416012","","","","",""
"","","","","","","","","00:00:00.5516579","",""
"","","","","","","","","","00:00:00.5098240",""
"","","","","","","","","","","00:00:00.6641909"
"","","","","","00:00:00.6539686","","","","",""
"34","Yellow Egg is a variety of which fruit?","Pear","Pineapple","Carambola","Mango","Plum","Apricot","Korean Melon","Melon","Lemon"
"","","Highly Possitive","Slightly Negative","Moderately Possitive","Idle","Highly Negative","Slightly Possitive","Idle","Moderately Negative","Moderately Negative"
"","","00:00:08.1994462","","","","","","","",""
"35","Hypophosphatasia affects what part of the body?","Muscles","Bones","Brain","Eyes","Blood","Lungs","Nerves","Liver","Kidney"
"","","Slightly Possitive","Idle","Highly Negative","Idle","Moderately Possitive","Slightly Negative","Highly Possitive","Moderately Negative","Moderately Negative"
"","","00:00:03.4660180","","","","","","","",""
"","","","","00:00:00.0202228","","","","","",""
"","","","","","","00:00:02.0303107","","","",""
"","","","","","","","00:00:00.7175637","","",""
"","","","","00:00:00.6196844","","","","","",""
"","","","00:00:00.6803524","","","","","","",""
"","","00:00:00.0712568","","","","","","","",""
"","","00:00:00.5231255","","","","","","","",""
"","","","","","00:00:00.7277250","","","","",""
"","","","","","","","","00:00:06.1662167","",""
"36","Who directed the 2001 re-make of the film Oceans 11?","James Cameron","Steven Soderbergh","Wolfgang Petersen","Tom Hanks","Quentin Tarantino","Martin Scorsese","Robert Rodriguez","Woody Allen","Tony Gilroy"
"","","Highly Possitive","Moderately Negative","Slightly Negative","Moderately Possitive","Idle","Highly Negative","Moderately Negative","Slightly Possitive","Idle"
"","","","","","","","","00:00:06.4391775","",""
"","","00:00:02.8959248","","","","","","","",""
"","","","00:00:00.6959847","","","","","","",""
"","","","","00:00:00.4434356","","","","","",""
"","","","","","","","00:00:00.5409060","","",""
"","","","","","","00:00:00.7917008","","","",""
"","","","","","00:00:00.8444367","","","","",""
"","","","","","","","","00:00:00.6696134","",""
"","","","","","","","","","00:00:00.7384661",""
"","","","","","","","","","","00:00:01.3700115"
"","","","","","","00:00:00.0225878","","","",""
"","","00:00:00.3499814","","","","","","","",""
"37","In the Republic of Ireland, the Yellow Pages are known as what?","Silver Pages","Purple pages","White Pages","Red Pages","Golden Pages","Yellow Books","Green Pages","Rainbow Pages","Blue Pages"
"","","Moderately Negative","Slightly Possitive","Slightly Negative","Idle","Moderately Possitive","Highly Possitive","Highly Negative","Moderately Negative","Idle"
