"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","00:00:01.8031201","","","","","",""
"","","","","","","","00:00:03.8597838","","",""
"","","","","","","00:00:01.6573786","","","",""
"","","","","00:00:01.0410330","","","","","",""
"32","How many countries are there in Africa?","40","42","76","54","67","45","50","24","1"
"","","Slightly Possitive","Idle","Highly Negative","Moderately Negative","Moderately Possitive","Moderately Negative","Idle","Highly Possitive","Slightly Negative"
"","","","","00:00:03.3215429","","","","","",""
"","","","","","00:00:00.0395468","","","","",""
"","","00:00:02.3424949","","","","","","","",""
"","","","00:00:02.1494926","","","","","","",""
"","","","","","00:00:01.4648811","","","","",""
"","","","","","","","","00:00:03.3651639","",""
"","","","","","","","","","00:00:01.9809145",""
"33","The three largest oil producing countries are in the world are?","UAE, USA, Saudi Arabia","UAE, Russia, Iran","Iraq, Iran, UAE","Saudi Arabia, Iran, Iraq","Iran, Saudi Arabia, USA","Russia, USA, Iraq","Saudi Arabia, Russia, USA","Iraq, UAE, Saudi Arabia","USA, Russia, Iran"
"","","Moderately Negative","Moderately Possitive","Idle","Highly Negative","Moderately Negative","Highly Possitive","Slightly Possitive","Slightly Negative","Idle"
"","","","","","","","","","00:00:15.0845373",""
"","","","","","","00:00:00.0208669","","","",""
"","","","00:00:00.1436166","","","","","","",""
"","","","","","","","00:00:00.0625643","","",""
"","","","","","","00:00:02.2119785","","","",""
"","","","","","00:00:01.5866888","","","","",""
"","","","","","","00:00:01.3421157","","","",""
"","","","","","","","","","","00:00:01.4620909"
"","","","","","","","","","00:00:00.2370820",""
"","","","","","","","","","00:00:01.2233891",""
"","","","","","","","","00:00:03.6185405","",""
"","","","","","","00:00:00.0807035","","","",""
"","","","","","","","00:00:01.7588824","","",""
"34","Who is called the father of Economics?","Paul Krugman","Adam Smith","Robert J. Shiller","Milton Friedman","Jan Tinbergen","John Maynard Keynes","Karl Marx","Lawrence Summers","Joseph Stiglitz"
"","","Moderately Negative","Moderately Possitive","Highly Negative","Slightly Possitive","Moderately Negative","Slightly Negative","Idle","Idle","Highly Possitive"
"","","","","","","","00:00:02.7842365","","",""
"","","","","","","","","","","00:00:01.6328005"
"","","","","","","","","","00:00:01.8068075",""
"","","","","","","","","00:00:01.4138056","",""
"","","","","","00:00:01.7729903","","","","",""
"","","","","","","00:00:01.7480874","","","",""
"","","","","","","","00:00:01.3390777","","",""
"","","","","00:00:01.3155038","","","","","",""
"","","","00:00:01.6654768","","","","","","",""
"","","00:00:01.6711181","","","","","","","",""
"","","","","","00:00:01.4346530","","","","",""
"35","In which year was the new currency Euro introduced?","1988","1884","1995","1993","1999","2005","1990","2002","2001"
"","","Slightly Possitive","Moderately Negative","Moderately Possitive","Highly Negative","Highly Possitive","Slightly Negative","Idle","Idle","Moderately Negative"
"","","","","","00:00:02.0726928","","","","",""
"","","","","","","","","00:00:00.0482871","",""
"","","","","","","","","","00:00:00.2150093",""
"","","","","","","00:00:00.0217077","","","",""
"","","00:00:02.3961914","","","","","","","",""
"","","","00:00:00.0460153","","","","","","",""
"","","","","00:00:00.2790368","","","","","",""
"","","","00:00:01.8963545","","","","","","",""
"","","","","00:00:01.6714249","","","","","",""
"","","","","","","","00:00:01.4698154","","",""
"","","","","","","00:00:01.1504138","","","",""
"","","","","","00:00:01.6868453","","","","",""
"","","","","","","","","00:00:01.0269380","",""
"","","","","","","","","","00:00:01.2091967",""
"","","","","","","","","","","00:00:00.0447426"
"","","","","","","","","","","00:00:00.9811582"
"","","","","00:00:00.6180779","","","","","",""
"36","Which country is estimated to have Worlds largest Shale gas reserve?","Canada","China","Iraq","Iran","USA","Russia","Qatar","Saudi Arabia","UAE"
"","","Highly Possitive","Slightly Negative","Moderately Possitive","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Negative","Idle"
"","","","","00:00:05.9801958","","","","","",""
"","","","","00:00:01.7373094","","","","","",""
"","","","00:00:01.3652272","","","","","","",""
"","","00:00:01.5651322","","","","","","","",""
"","","","","","00:00:00.0878892","","","","",""
"","","","","","00:00:01.4790016","","","","",""
"","","","","","","00:00:01.1104920","","","",""
"","","","","","","","00:00:01.7024867","","",""
"","","","","00:00:01.5569577","","","","","",""
"","","","","","","","00:00:02.1224585","","",""
"","","","","","","","","","","00:00:00.9073573"
"","","","","","","","","","00:00:00.7810273",""
"","","","","","","","","00:00:00.8240313","",""
"","","00:00:01.2025599","","","","","","","",""
"","","","","00:00:01.5245223","","","","","",""
"","","","","","","","00:00:01.9663037","","",""
"37","World largest producer of uranium is?","Russia","Israel","Canada","USA","Brazil","North Korea","UK","China","Germany"
"","","Moderately Negative","Highly Negative","Moderately Possitive","Idle","Idle","Moderately Negative","Slightly Negative","Slightly Possitive","Highly Possitive"
"","","","","","","","00:00:05.5511132","","",""
"","","00:00:00.0655503","","","","","","","",""
"","","00:00:01.7162197","","","","","","","",""
"","","","00:00:01.6542555","","","","","","",""
"","","","","00:00:01.7721622","","","","","",""
"","","","","","","","00:00:02.4553243","","",""
"","","","","","","00:00:00.9448105","","","",""
"","","","","","00:00:00.7805192","","","","",""
"","","","","","","","","00:00:00.0856144","",""
"","","","","","","","","00:00:02.5184748","",""
"","","","","","","","","","00:00:01.6459391",""
"","","","","","","","","","","00:00:01.4658500"
"","","","","00:00:01.1263610","","","","","",""
"38","Which Embassy was the scene of the 1980 Special Air Service raid in South Kensington, London?","Canadian","Jordanian","Saudi Arabian","American","Iraqi","Russian","German","French","Iranian"
"","","Highly Possitive","Slightly Possitive","Moderately Negative","Slightly Negative","Highly Negative","Idle","Moderately Possitive","Moderately Negative","Idle"
"","","","","00:00:13.8044615","","","","","",""
"","","","00:00:01.4303918","","","","","","",""
"","","","","00:00:01.8467221","","","","","",""
"","","","","","","","00:00:00.9824620","","",""
"","","","","","","00:00:01.5677303","","","",""
"","","","","","00:00:01.3517728","","","","",""
"","","","","","","","","00:00:01.4280971","",""
"","","","","","","","","","00:00:01.1840439",""
"","","","","","","","","","","00:00:00.7673183"
"","","","","","","","","","00:00:00.1246814",""
"","","","","","","","","00:00:00.1768299","",""
"39","Which dinosaur name means roof lizard?","Ankylosaurus","Triceratops","Allosaurus","Pteradactyl","Albertosaurus","Spinosaurus","Tyrannosaurus","Stegosaurus","Troodon"
"","","Highly Negative","Highly Possitive","Moderately Possitive","Slightly Possitive","Idle","Moderately Negative","Slightly Negative","Moderately Negative","Idle"
"","","","","","","","","00:00:05.5506268","",""
"","","","","","","00:00:00.0216361","","","",""
"","","","","","","","00:00:00.0263902","","",""
"","","","","00:00:00.0210878","","","","","",""
"","","","","00:00:01.1152202","","","","","",""
"40","Blue Mountain Coffee comes from where?","Thailand","Brazil","Costa Rica","Japan","Jamaica","Kenya","Colombia","Bahamas","Chile"
"","","Moderately Possitive","Slightly Negative","Slightly Possitive","Highly Negative","Moderately Negative","Idle","Idle","Highly Possitive","Moderately Negative"
"","","","","00:00:04.7463264","","","","","",""
"","","00:00:02.3564364","","","","","","","",""
"","","","00:00:00.0216888","","","","","","",""
"","","","00:00:00.0649544","","","","","","",""
"","","","00:00:03.7782386","","","","","","",""
"","","","","00:00:02.7073775","","","","","",""
"","","","","","","","00:00:00.3267228","","",""
"","","","","00:00:01.5781206","","","","","",""
"","","00:00:01.9102496","","","","","","","",""
"","","","","","00:00:01.5589518","","","","",""
"","","","","","","00:00:02.1353541","","","",""
"","","","","","","","00:00:01.2540928","","",""
"","","","","","","","","","00:00:01.1732263",""
"","","","","","","","","","","00:00:01.5466146"
"","","","","","","","","","00:00:00.0433997",""
"","","","","","","","","00:00:00.0422850","",""
"","","","","","","","","00:00:01.0595938","",""
"","","","","","00:00:01.0474726","","","","",""
"","","","00:00:01.7262929","","","","","","",""
"","","","","","","00:00:00.8473116","","","",""
"","","","","","","","00:00:01.3840618","","",""
"","","","","00:00:01.0695018","","","","","",""
"","","00:00:00.1544936","","","","","","","",""
"","","00:00:01.4980715","","","","","","","",""
"41","Which chemical element has the atomic number of 79?","Silver","Platinum","Nickel","Gold","Lead","Silver","Mercury","Uranium","Iron"
"","","Highly Negative","Idle","Moderately Negative","Moderately Possitive","Highly Possitive","Slightly Negative","Moderately Negative","Slightly Possitive","Idle"
"","","00:00:03.6533583","","","","","","","",""
"","","","","00:00:00.3908770","","","","","",""
"","","","","00:00:01.8227644","","","","","",""
"","","","00:00:01.0315588","","","","","","",""
"","","00:00:01.1842431","","","","","","","",""
"","","","","","00:00:01.6107311","","","","",""
"","","","","","","00:00:01.2405825","","","",""
"","","","","","","","00:00:00.9397935","","",""
"","","","","","","","","","","00:00:00.8889788"
"","","","","","","","","","00:00:01.5634833",""
"","","","","","","","","00:00:01.2278678","",""
"","","","","","","00:00:00.2217022","","","",""
"42","Which is the only work Mozart wrote whose home key is E minor?","Violin Sonata No. 21","Andante for Flute and Orchestra","Requiem","Piano Sonata No. 11","Piano Concerto No. 3","The Magic Flute","Horn Concerto No. 4","Clarinet Concerto","Symphony No. 40"
"","","Highly Possitive","Moderately Possitive","Moderately Negative","Idle","Idle","Slightly Negative","Highly Negative","Slightly Possitive","Moderately Negative"
"","","","","","","00:00:04.0683904","","","",""
"","","","","00:00:00.0209544","","","","","",""
"","","00:00:01.7613240","","","","","","","",""
"","","","00:00:01.6143608","","","","","","",""
"","","","","00:00:01.2770831","","","","","",""
"","","","","","","","00:00:00.8164487","","",""
"","","","","","","00:00:01.4039979","","","",""
"","","","","","00:00:01.2068999","","","","",""
"","","","","","","00:00:00.4771221","","","",""
"","","","","","","","","","00:00:00.0639151",""
"","","","","","","","","","00:00:00.7622900",""
"","","","","","","","","00:00:00.8401830","",""
