"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","","","","00:00:00.3660288","","",""
"23","Where is the headquarters of United Nations?","Paris, France","Beijing, China","Berlin, Germany","London, UK","Chicago, USA","Moscow, Russia","Los Angeles, USA","New York City, USA","Geneva, Switzerland"
"","","Idle","Moderately Negative","Moderately Negative","Slightly Negative","Highly Negative","Idle","Highly Possitive","Slightly Possitive","Moderately Possitive"
"","","","","","","","00:00:04.0654260","","",""
"","","","","","","00:00:00.1643950","","","",""
"","","","","","","","","","00:00:00.0236698",""
"","","","","","","","","","","00:00:00.8546292"
"","","","","","","","","","00:00:00.7301017",""
"","","","","","","","","00:00:00.4128479","",""
"","","","","","00:00:00.6823592","","","","",""
"","","","","","","","","00:00:00.8507357","",""
"","","","","","","","","","00:00:00.1394467",""
"","","","","","","","","","","00:00:01.5126906"
"","","","","","","","00:00:00.0447874","","",""
"","","","","00:00:01.2552260","","","","","",""
"","","","00:00:00.5515915","","","","","","",""
"","","","","","","","00:00:00.0216506","","",""
"","","","","","","","","","","00:00:00.4104312"
"24","Who is the writer of Adventures of Huckleberry Finn?","Agatha Christie","Jules Verne","Shel Silverstein","George Eliot","Ernest Hemingway","Mark Twain","Peter Lynch","Stephen King","Raymond Chandler"
"","","Moderately Negative","Highly Possitive","Idle","Slightly Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Highly Negative"
"","","","","","","","","00:00:03.1950661","",""
"","","","","","","","","00:00:01.3252457","",""
"","","","","","00:00:00.1344995","","","","",""
"","","","","","","00:00:00.2371033","","","",""
"","","","","","","","00:00:01.0047075","","",""
"","","","","","","","","","","00:00:00.8817604"
"","","","","","","","","","00:00:00.6173391",""
"","","","","","","","","","","00:00:00.0227600"
"","","","","","","","00:00:00.3684937","","",""
"25","Who is the writer of Brief History of Time?","Albert Einstein","Kip S. Thorne","Michio Kaku","Richard Dawkins","Steven Weinberg","Alan Guth","Neil deGrasse Tyson","Richard Feynman","Stephen Hawking"
"","","Slightly Possitive","Idle","Slightly Negative","Highly Possitive","Moderately Possitive","Moderately Negative","Highly Negative","Idle","Moderately Negative"
"","","","","","","","","","00:00:05.6302965",""
"","","","","","","","","","","00:00:01.2541335"
"26","Anemometer is an instrument used for measuring?","Sound Speed","Age of stars","Water speed","Size of stars","Wind speed","Distance between two stars","Light speed","Objects speed","Distance of stars from Earth"
"","","Slightly Negative","Moderately Possitive","Highly Possitive","Moderately Negative","Moderately Negative","Slightly Possitive","Idle","Highly Negative","Idle"
"","","","","","","","","","","00:00:06.7691352"
"","","","","","","","","","00:00:00.0227341",""
"","","","","","00:00:00.0895970","","","","",""
"","","00:00:00.9568652","","","","","","","",""
"","","","00:00:00.2746800","","","","","","",""
"","","","","00:00:01.2793850","","","","","",""
"","","","","","","00:00:01.0715232","","","",""
"","","","","00:00:00.6154353","","","","","",""
"27","What is the largest country in the world?","Canada","Australia","India","Kazakhistan","China","Brazil","Russia","United States","Argentina"
"","","Moderately Negative","Highly Possitive","Slightly Negative","Moderately Negative","Moderately Possitive","Highly Negative","Idle","Slightly Possitive","Idle"
"","","","","","","","00:00:02.9914402","","",""
"","","","","","","00:00:00.2744603","","","",""
"","","","","","","","","","00:00:00.7215777",""
"","","","","","","","","00:00:01.5330862","",""
"28","Which Space Shuttle broke apart 73 seconds into its flight on January 28, 1986?","Opportunity","Curiosity","Endeavour","Colombia","Atlantis","Enterprise","Challenger","Discovery","Spirit"
"","","Moderately Possitive","Highly Possitive","Idle","Idle","Slightly Negative","Moderately Negative","Slightly Possitive","Moderately Negative","Highly Negative"
"","","","","","","","","00:00:03.9216955","",""
"","","","","","00:00:00.0236983","","","","",""
"","","","","","","00:00:00.0245505","","","",""
"","","","00:00:00.6308842","","","","","","",""
"","","","","","","00:00:00.2569865","","","",""
"","","","","","","","","00:00:00.5566886","",""
"29","What is the colour of the flag of Libya?","Orange","Green","Pink","Red","Yellow","White","Blue","Purple","Black"
"","","Moderately Possitive","Slightly Negative","Highly Possitive","Highly Negative","Idle","Moderately Negative","Moderately Negative","Idle","Slightly Possitive"
"","","","","","00:00:05.5676898","","","","",""
"","","00:00:00.2294247","","","","","","","",""
"","","00:00:01.4436081","","","","","","","",""
"","","","00:00:01.2640619","","","","","","",""
"","","","","00:00:01.5439082","","","","","",""
"","","","","","","","00:00:01.3973794","","",""
"","","","","","","","","","","00:00:01.0422878"
"","","","","","","","","","00:00:01.5764223",""
