"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","Moderately Negative","Slightly Possitive","Moderately Possitive","Moderately Negative","Idle","Highly Possitive","Highly Negative","Idle","Slightly Negative"
"","","","","00:00:03.9445704","","","","","",""
"","","","00:00:00.0449979","","","","","","",""
"","","00:00:00.0937358","","","","","","","",""
"","","00:00:00.7245394","","","","","","","",""
"","","","00:00:00.9078236","","","","","","",""
"","","","","00:00:00.8954894","","","","","",""
"","","","","","","","00:00:01.3187861","","",""
"","","","","","","00:00:00.5614001","","","",""
"","","","","","00:00:00.8309490","","","","",""
"","","","","","","","","00:00:00.8624053","",""
"","","","","","","","","","00:00:00.8117064",""
"","","","","","","","","","","00:00:01.2370159"
"","","","","","","","00:00:01.3378857","","",""
"17","The Spanish flag consists of which two colours?","Yellow and green","White and yellow","Black and red","Red and yellow","Red and Blue","Green and white","Black and green","Green and blue","Blue and yellow"
"","","Idle","Moderately Possitive","Moderately Negative","Highly Possitive","Highly Negative","Slightly Negative","Slightly Possitive","Idle","Moderately Negative"
"","","","","","","","00:00:08.9805882","","",""
"","","","","","","00:00:00.0218200","","","",""
"","","","","","00:00:00.0437438","","","","",""
"","","","","","00:00:02.8795880","","","","",""
"18","For what occupation was Jesus trained?","Chandler","Hind","Jagger","Haymonger","Teacher","Lumberjack","Holster","Carpenter","Butcher"
"","","Idle","Moderately Negative","Slightly Negative","Idle","Highly Negative","Moderately Negative","Slightly Possitive","Highly Possitive","Moderately Possitive"
"","","","","","00:00:04.8639543","","","","",""
"","","00:00:02.1114415","","","","","","","",""
"","","","00:00:02.0095345","","","","","","",""
"","","","","00:00:01.7743950","","","","","",""
"","","","","","","00:00:00.0900025","","","",""
"","","","","","00:00:01.2644659","","","","",""
"","","","","","","00:00:00.8995667","","","",""
"","","","","","","","00:00:01.0119935","","",""
"","","","","","","","","","00:00:00.0426988",""
"","","","","","","","","00:00:01.1595877","",""
"","","","","","","","","","00:00:01.3545617",""
"","","","","","","","","","","00:00:01.3755970"
"","","","","","","","","","00:00:02.1885896",""
"","","","","","","","","","00:00:00.1124787",""
"","","","","","","","","","00:00:01.6905771",""
"19","What is the capital of the Taiwan?","Bangkok","Manila","Kathmandu","Lhasa","Jakarta","Kuala Lumpur","Dhaka","Hanoi","Taipei"
"","","Highly Possitive","Idle","Slightly Possitive","Moderately Negative","Moderately Negative","Highly Negative","Moderately Possitive","Slightly Negative","Idle"
"","","","","","","","","","00:00:04.9991122",""
"","","","","","","","","","","00:00:00.0438721"
"","","","","","","","","","","00:00:02.0186744"
"","","","","","","","00:00:01.4803624","","",""
"","","","","","","00:00:01.8143198","","","",""
"","","","","","00:00:01.1134075","","","","",""
"","","","","","","","","00:00:01.3637742","",""
"","","","","","","","","","00:00:01.4344009",""
"","","00:00:00.0698608","","","","","","","",""
"","","00:00:02.7519382","","","","","","","",""
"","","","00:00:01.7658217","","","","","","",""
"","","","","00:00:01.9904863","","","","","",""
"","","","","","","","","","","00:00:02.1354138"
"","","","","","","","00:00:00.0209959","","",""
"","","00:00:03.0551727","","","","","","","",""
"","","","00:00:00.8538849","","","","","","",""
"","","","","00:00:00.0217341","","","","","",""
"","","","","00:00:01.2361559","","","","","",""
"","","","","","","","00:00:00.0680256","","",""
"","","","","","","","","","","00:00:01.1627610"
"","","","","","","00:00:00.0224964","","","",""
"","","00:00:47.1412754","","","","","","","",""
"","","","00:00:00.0223330","","","","","","",""
"","","","","","","","","","","00:00:00.0235297"
"","","","","","","","","","","00:00:01.0086683"
"20","In which country will you find Machu Picchu?","Argentina","Peru","Uraguay","Mexico","Paraguay","Ecuador","Colombia","Brazil","Chile"
"","","Idle","Highly Negative","Moderately Negative","Slightly Possitive","Highly Possitive","Slightly Negative","Moderately Negative","Moderately Possitive","Idle"
"","","","","","","","","","","00:00:03.2487618"
"","","","00:00:00.0237112","","","","","","",""
"","","","00:00:01.9229502","","","","","","",""
"","","00:00:00.0638265","","","","","","","",""
"","","00:00:00.7249645","","","","","","","",""
"","","","","","00:00:00.7080596","","","","",""
"","","","","","","","","00:00:00.5533210","",""
"","","","","","","","","","00:00:00.8587712",""
"","","","","","","00:00:02.3418555","","","",""
"","","","","","","","00:00:00.5695365","","",""
"","","","","","","","","","","00:00:00.0340169"
"","","","","","","","","","","00:00:00.6721703"
"","","","","","","00:00:00.0447666","","","",""
"","","","00:00:00.4909704","","","","","","",""
"21","Which tree grows from an acorn?","Pine","Lime","Ash","Birch","Elm","Larch","Hawthorn","Maple","Oak"
"","","Idle","Moderately Possitive","Highly Negative","Moderately Negative","Idle","Slightly Negative","Slightly Possitive","Moderately Negative","Highly Possitive"
"","","","00:00:02.9780474","","","","","","",""
