"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","","","","","","","00:00:07.2538662"
"23","Where is the headquarters of United Nations?","Moscow, Russia","Geneva, Switzerland","Paris, France","London, UK","New York City, USA","Chicago, USA","Berlin, Germany","Los Angeles, USA","Beijing, China"
"","","Highly Negative","Slightly Possitive","Moderately Negative","Slightly Negative","Moderately Negative","Moderately Possitive","Idle","Highly Possitive","Idle"
"","","","","","","","","","","00:00:06.3127431"
"","","","","","","","00:00:01.2718881","","",""
"","","","","","","00:00:01.7819451","","","",""
"24","Who is the writer of Adventures of Huckleberry Finn?","Jules Verne","Peter Lynch","George Eliot","Mark Twain","Agatha Christie","Shel Silverstein","Raymond Chandler","Stephen King","Ernest Hemingway"
"","","Highly Possitive","Slightly Possitive","Idle","Highly Negative","Moderately Negative","Moderately Possitive","Idle","Slightly Negative","Moderately Negative"
"","","","","","","00:00:08.2562465","","","",""
"","","","","","00:00:01.1520830","","","","",""
"","","","","","","00:00:00.0226830","","","",""
"","","","","00:00:00.7227456","","","","","",""
"","","","00:00:00.6486118","","","","","","",""
"","","00:00:01.2314059","","","","","","","",""
"","","","","","","00:00:00.7433202","","","",""
"","","","","","","","00:00:01.9160451","","",""
"","","","","","","","","","00:00:04.7422562",""
"","","","","","","","00:00:02.0533726","","",""
"","","","","","","00:00:00.0461015","","","",""
"","","","","","00:00:01.0094149","","","","",""
"","","","00:00:01.0581850","","","","","","",""
"","","","","00:00:01.0624918","","","","","",""
"","","","","","","","00:00:00.0269374","","",""
"","","","","","","","","","","00:00:00.5599467"
"","","","","","","","","","00:00:00.6729137",""
"","","","","","","","","00:00:01.0775177","",""
"","","","","","00:00:00.8763805","","","","",""
"","","","","","","00:00:00.9181306","","","",""
"","","","","","","","00:00:02.3354802","","",""
"","","00:00:00.1173938","","","","","","","",""
"","","00:00:01.6625388","","","","","","","",""
"25","Who is the writer of Brief History of Time?","Alan Guth","Albert Einstein","Stephen Hawking","Richard Feynman","Steven Weinberg","Kip S. Thorne","Michio Kaku","Richard Dawkins","Neil deGrasse Tyson"
"","","Idle","Moderately Negative","Highly Possitive","Moderately Negative","Highly Negative","Slightly Negative","Idle","Slightly Possitive","Moderately Possitive"
"","","00:00:06.4257194","","","","","","","",""
"","","","00:00:00.7161984","","","","","","",""
"","","","","00:00:01.0355229","","","","","",""
"","","","","","","","00:00:02.4177729","","",""
"","","","","","","00:00:01.2576022","","","",""
"","","","","","00:00:01.0206086","","","","",""
"","","","","","","","","00:00:01.2503314","",""
"","","","","","","","","","00:00:01.4446508",""
"","","","","","","","","","","00:00:02.1560954"
"26","Anemometer is an instrument used for measuring?","Objects speed","Age of stars","Distance between two stars","Distance of stars from Earth","Water speed","Sound Speed","Wind speed","Light speed","Size of stars"
"","","Idle","Moderately Possitive","Moderately Negative","Slightly Possitive","Slightly Negative","Idle","Highly Possitive","Moderately Negative","Highly Negative"
"","","","","","","","","","","00:00:07.9664055"
"","","","","","","00:00:00.0698755","","","",""
"","","00:00:01.0022018","","","","","","","",""
"","","","00:00:01.2910790","","","","","","",""
"","","","","00:00:00.9455403","","","","","",""
"","","","","","","","00:00:05.1685105","","",""
"","","","","","","","","","","00:00:00.7497280"
"","","","","","","","","","00:00:01.2144143",""
"","","","","","","","","00:00:01.6838625","",""
"","","","","","00:00:01.0578523","","","","",""
"","","","","","","00:00:01.8366140","","","",""
"","","","","00:00:00.9184758","","","","","",""
"","","","00:00:03.6317765","","","","","","",""
"","","","","","","","00:00:00.0734328","","",""
"","","","","","","","00:00:00.0437955","","",""
"","","","00:00:02.1960538","","","","","","",""
"27","What is the largest country in the world?","Brazil","Argentina","United States","India","Russia","Canada","China","Kazakhistan","Australia"
"","","Moderately Negative","Highly Negative","Moderately Possitive","Highly Possitive","Idle","Idle","Slightly Possitive","Moderately Negative","Slightly Negative"
"","","","00:00:07.7531720","","","","","","",""
"","","","","","","00:00:04.4351328","","","",""
"","","","","","","","00:00:00.7871880","","",""
"","","","","","","","","","","00:00:00.7857648"
"","","","","","","","","","00:00:00.8635877",""
"","","","","","","","00:00:00.0213918","","",""
"","","","","00:00:01.0486562","","","","","",""
"","","","00:00:00.0221517","","","","","","",""
"","","","","","","00:00:02.9756121","","","",""
"28","Which Space Shuttle broke apart 73 seconds into its flight on January 28, 1986?","Discovery","Opportunity","Atlantis","Colombia","Enterprise","Spirit","Endeavour","Challenger","Curiosity"
"","","Moderately Negative","Moderately Possitive","Highly Negative","Slightly Negative","Slightly Possitive","Highly Possitive","Idle","Moderately Negative","Idle"
"","","","","","","00:00:07.9096267","","","",""
"","","","00:00:01.5966424","","","","","","",""
"","","","","00:00:00.8521465","","","","","",""
"","","","00:00:00.0218831","","","","","","",""
"","","","","","00:00:00.9010931","","","","",""
"","","00:00:00.7885987","","","","","","","",""
"","","","","","","00:00:01.3150706","","","",""
"","","","","","","","","00:00:01.9721700","",""
"","","","","","","","","","00:00:00.7197541",""
"","","","","","","","","","","00:00:00.6786535"
"","","","","","","","","","","00:00:03.0179389"
"","","","","","","","","","00:00:00.1379050",""
"","","","","","","","","00:00:02.6727145","",""
"","","","","","","","","","00:00:00.1401396",""
"","","","","","","","","","","00:00:01.4880285"
"","","","","","","","","","00:00:00.1741446",""
"","","","","","","","","00:00:00.6137805","",""
"","","","","","","","00:00:00.6781398","","",""
"","","","","","","","","","","00:00:01.0410849"
"29","What is the colour of the flag of Libya?","Yellow","Green","Black","Orange","Pink","Blue","White","Red","Purple"
"","","Moderately Negative","Moderately Possitive","Highly Possitive","Idle","Slightly Possitive","Highly Negative","Slightly Negative","Idle","Moderately Negative"
"","","","","","","","","","","00:00:08.9365963"
"","","","","","","","00:00:00.0448285","","",""
"","","","","00:00:00.0459263","","","","","",""
"","","","00:00:02.1805899","","","","","","",""
"30","The ulna is a long bone in which part of the body?","Arm","Neck","Chest","Foot","Pelvis","Hand","Leg","Ear","Face"
"","","Moderately Negative","Slightly Possitive","Moderately Negative","Idle","Moderately Possitive","Slightly Negative","Highly Negative","Highly Possitive","Idle"
"","","","00:00:08.5540016","","","","","","",""
"","","00:00:00.0671100","","","","","","","",""
"","","00:00:00.8024014","","","","","","","",""
"","","","","","00:00:00.7575432","","","","",""
"","","","","","","00:00:01.4786699","","","",""
"","","","","","","","00:00:00.8322683","","",""
"","","","","00:00:00.0208832","","","","","",""
"","","","","00:00:00.6100749","","","","","",""
"","","","","","","","00:00:00.0227094","","",""
"","","","","","","","","","","00:00:00.0424674"
"","","","","","","","","","","00:00:00.6273380"
"","","","","","","","","","00:00:01.3595667",""
"","","","","","","","","00:00:01.0488659","",""
"","","","","","","00:00:02.7250628","","","",""
"","","","","","","","","00:00:05.4059885","",""
"31","Which musical family does the saxophone belong to?","Brass","Blues","Folk","Keyboard","Classic","Jazz","Strings","Percussion","Woodwind"
"","","Moderately Possitive","Highly Negative","Slightly Possitive","Idle","Moderately Negative","Highly Possitive","Slightly Negative","Idle","Moderately Negative"
"","","","","","","","","00:00:15.8405312","",""
"","","","","","","00:00:02.4449542","","","",""
"","","","","","","","00:00:00.0687707","","",""
"","","","","","","","00:00:01.0071470","","",""
"","","","","","","","","","","00:00:02.6967364"
"32","In what country would you find Mount Kilimanjaro?","South Africa","Nepal","Congo","Kazakhistan","Colombia","Kenya","United States","Switzerland","Tanzania"
"","","Highly Negative","Moderately Possitive","Slightly Negative","Idle","Moderately Negative","Moderately Negative","Idle","Slightly Possitive","Highly Possitive"
"","","","","","","","","","","00:00:07.5101244"
"","","","","","","","00:00:02.0132633","","",""
"33","Old Trafford stadium is located near what major city?","Trafford","Liverpool","Nottingham","Newcastle","Southampton","Edinburgh","London","Manchester","Glasgow"
"","","Moderately Negative","Moderately Negative","Slightly Negative","Slightly Possitive","Moderately Possitive","Idle","Highly Negative","Highly Possitive","Idle"
"","","","","","","","00:00:13.7992564","","",""
"","","","","","","","","","00:00:03.6506814",""
"34","Yellow Egg is a variety of which fruit?","Apricot","Pineapple","Carambola","Korean Melon","Plum","Lemon","Melon","Pear","Mango"
"","","Idle","Idle","Highly Negative","Slightly Negative","Highly Possitive","Moderately Negative","Slightly Possitive","Moderately Possitive","Moderately Negative"
"","","","","","","","","","00:00:11.5637731",""
"","","","","","","","","","","00:00:00.8146419"
"","","","","","","","00:00:00.7971813","","",""
"","","","","00:00:01.1466138","","","","","",""
"","","","00:00:02.6517318","","","","","","",""
"","","00:00:04.2071496","","","","","","","",""
"","","","","","00:00:01.6052944","","","","",""
"","","","","","","","","00:00:01.7083237","",""
"","","","","","","","","","00:00:01.0784981",""
"","","","","","","00:00:01.4349525","","","",""
"35","Hypophosphatasia affects what part of the body?","Eyes","Brain","Nerves","Muscles","Bones","Liver","Blood","Lungs","Kidney"
"","","Highly Negative","Slightly Possitive","Highly Possitive","Idle","Slightly Negative","Idle","Moderately Negative","Moderately Possitive","Moderately Negative"
"","","","","","","00:00:10.2180241","","","",""
"","","","00:00:01.4434312","","","","","","",""
"","","","","","","00:00:00.9012178","","","",""
"","","","","","","","","","00:00:01.6031115",""
"","","","","","","","","","","00:00:00.7697498"
"","","","","","","","00:00:00.7179471","","",""
"","","","","00:00:01.7238384","","","","","",""
"","","","00:00:00.0516698","","","","","","",""
"","","00:00:00.8544904","","","","","","","",""
"","","","00:00:00.0235039","","","","","","",""
"","","","","00:00:01.4148289","","","","","",""
"36","Who directed the 2001 re-make of the film Oceans 11?","Quentin Tarantino","Robert Rodriguez","Steven Soderbergh","Wolfgang Petersen","James Cameron","Tony Gilroy","Martin Scorsese","Woody Allen","Tom Hanks"
"","","Highly Possitive","Slightly Negative","Idle","Moderately Possitive","Highly Negative","Moderately Negative","Moderately Negative","Idle","Slightly Possitive"
"","","","","00:00:08.1377341","","","","","",""
"","","","00:00:00.7789465","","","","","","",""
"","","00:00:01.0788869","","","","","","","",""
